*2010,,,,
29, -,Colin Montgomerie,9,"$35,989"
30, -,Kenneth Ferrie,2,"$31,084"
31, -,Franklin Langham,1,"$30,720"
32, -,Ross Bain,1,"$29,821"
33, -,Colt Knost,4,"$27,483"
34, -,Won Joon Lee,1,"$26,736"
35, -,Fabrizio Zanotti,1,"$25,900"
36, -,Marcus Fraser,1,"$25,016"
37, -,Gregory Bourdy,1,"$23,394"
38, -,Bradley Dredge,4,"$22,533"
39, -,Toru Taniguchi,4,"$21,594"
40, -,Jon Bevan,1,"$21,080"
41, -,Raphael Jacquelin,3,"$20,669"
42, -,Alastair Forsyth,1,"$20,258"
43, -,Fredrik Andersson,1,"$19,846"
44, -,Andrew Ruthkoski,2,"$19,112"
45, -,Kaname Yokoo,2,"$16,640"
46, -,Kelly Mitchum,4,"$16,326"
47, -,Graeme Storm,3,"$13,650"
48, -,Yusaku Miyazato,1,"$13,537"
49, -,Mike Small,2,"$13,050"
50, -,Ryan Benzel,1,"$12,900"
51, -,Ricky Barnes,2,"$12,540"
52, -,Matt Every,2,"$12,420"
53, -,Todd Demsey,1,"$12,411"
54, -,Esteban Toledo,2,"$12,250"
55, -,Bill Lunde,1,"$12,093"
56, -,Martin Rominger,1,"$11,163"
T57, -,Tom Gillis,3,"$11,152"
T57, -,Lee Williams,2,"$11,152"
59, -,Alan Morin,1,"$11,000"
T60, -,Joe Daley,2,"$10,920"
T60, -,Azuma Yano,1,"$10,920"
62, -,David Hearn,1,"$10,850"
63, -,Mike Grob,1,"$10,200"
64, -,Chris Baryla,1,"$9,800"
65, -,Brady Schnell,1,"$9,102"
66, -,Ryan Blaum,1,"$8,800"
67, -,Bronson La'Cassie,1,"$8,692"
68, -,Tony Finau,1,"$7,960"
69, -,Paul Trittler,1,"$7,640"
70, -,Oliver Thomson,2,"$7,630"
71, -,Andres Gonzales,1,"$7,120"
*2006,,,,
1, -,Angel Cabrera,12,"$623,504"
2, -,Henrik Stenson,10,"$582,303"
3, -,Colin Montgomerie,8,"$501,249"
4, -,Anthony Kim,2,"$338,067"
5, -,Miguel A. Jimenez,8,"$334,011"
6, -,Michael Campbell,10,"$323,983"
7, -,Hideto Tanihara,2,"$310,831"
8, -,Paul Casey,8,"$209,401"
9, -,Kenneth Ferrie,3,"$183,255"
10, -,Andres Romero,2,"$177,225"
11, -,Jason Day,7,"$174,508"
12, -,Ken Duke,2,"$138,231"
13, -,Scott Piercy,6,"$132,042"
14, -,Paul McGinley,9,"$130,734"
T15, -,S.K. Ho,2,"$128,891"
T15, -,Anthony Wall,3,"$128,891"
17, -,Robert Karlsson,5,"$118,283"
18, -,Charl Schwartzel,8,"$108,282"
19, -,Thomas Bjorn,7,"$104,773"
T20, -,Mikko Ilonen,1,"$83,655"
T20, -,Robert Rock,1,"$83,655"
T20, -,Brett Rumford,1,"$83,655"
23, -,Shingo Katayama,6,"$82,262"
24, -,Kevin Stadler,6,"$75,973"
25, -,Peter Hedblom,2,"$74,252"
26, -,Roland Thatcher,1,"$74,250"
27, -,Scott Hend,6,"$61,162"
T28, -,Paul Broadhurst,4,"$54,097"
T28, -,Lee Slattery,1,"$54,097"
30, -,Stephen Gangluff,2,"$53,584"
31, -,Anders Hansen,1,"$53,100"
32, -,Jason Allred,2,"$52,500"
33, -,David Hearn,1,"$50,438"
T34, -,Simon Khan,2,"$45,546"
T34, -,Thaworn Wiratchant,3,"$45,546"
36, -,Mike Small,9,"$40,256"
37, -,Marcus Fraser,1,"$36,483"
38, -,Parker McLachlin,2,"$34,674"
T39, -,Chad Collins,1,"$29,459"
T39, -,Jason Dufner,2,"$29,459"
T39, -,Lee Williams,1,"$29,459"
42, -,Jason Caron,1,"$29,260"
43, -,Richard Green,4,"$29,250"
44, -,Don Yrene,2,"$29,239"
45, -,Billy Hurley III,6,"$28,910"
46, -,Yusaku Miyazato,2,"$28,163"
47, -,Soren Kjeldsen,1,"$27,619"
48, -,WC Liang,1,"$25,850"
T49, -,John Bickerton,4,"$21,578"
T49, -,Simon Dyson,2,"$21,578"
T49, -,Gonzalo Fdez-Castano,5,"$21,578"
T49, -,Andrew Marshall,1,"$21,578"
T49, -,Simon Wakefield,2,"$21,578"
54, -,Philip Archer,1,"$20,482"
55, -,Yasuharu Imano,2,"$20,400"
56, -,Scott Sterling,1,"$20,280"
57, -,Rob Oppenheim,2,"$19,500"
58, -,Keiichiro Fukabori,4,"$19,148"
59, -,Andrew Buckle,2,"$18,497"
60, -,Marco Ruiz,1,"$18,125"
61, -,Jeev Milkha Singh,3,"$16,676"
62, -,Franklin Langham,1,"$16,642"
63, -,John Mallinger,3,"$16,354"
64, -,Esteban Toledo,2,"$15,567"
65, -,Azuma Yano,1,"$14,007"
66, -,Stuart Deane,1,"$13,140"
67, -,Jim Kane,1,"$12,725"
68, -,Will Moore,2,"$12,168"
69, -,Chris Parra,1,"$12,152"
70, -,Kane Webber,1,"$12,045"
T71, -,Patrick Damron,1,"$11,660"
T71, -,Scott Parel,1,"$11,660"
73, -,Spencer Levin,1,"$11,520"
74, -,Madalitso Muthiya,3,"$11,100"
75, -,Casey Wittenberg,1,"$10,868"
76, -,Brent Delahoussaye,1,"$10,550"
77, -,Joel Kribel,2,"$10,476"
78, -,Sonny Skinner,1,"$9,646"
79, -,Scott Miller,3,"$9,588"
80, -,Kaname Yokoo,2,"$9,180"
81, -,Chris Starkjohann,1,"$8,976"
82, -,Matt Every,3,"$8,505"
83, -,Andres Gonzales,1,"$8,400"
84, -,Scott Harrington,1,"$7,480"
85, -,David Roesch,1,"$7,400"
86, -,Ricky Barnes,2,"$6,947"
87, -,Eli Zackheim,1,"$6,810"
88, -,Jin Park,1,"$6,450"
89, -,Phil Schmitt,2,"$5,460"
*2005,,,,
1, -,Michael Campbell,5,"$1,585,560"
2, -,Colin Montgomerie,6,"$962,069"
3, -,Graeme McDowell,14,"$814,359"
4, -,Ryan Moore,14,"$686,250"
5, -,Thomas Bjorn,8,"$651,267"
6, -,Trevor Immelman,14,"$614,867"
7, -,Nick O'Hern,13,"$550,502"
8, -,Richard Green,11,"$256,807"
9, -,Angel Cabrera,11,"$242,028"
10, -,Michael Putnam,5,"$229,733"
11, -,David Howell,12,"$224,450"
12, -,Scott Dunlap,3,"$204,500"
13, -,Nick Faldo,5,"$184,649"
14, -,Jaxon Brigman,2,"$162,961"
15, -,Bill Haas,6,"$159,586"
16, -,Paul McGinley,6,"$139,017"
17, -,Peter Hedblom,1,"$123,857"
18, -,Joel Kribel,2,"$112,360"
19, -,Miguel A. Jimenez,9,"$109,398"
20, -,Chris Couch,1,"$96,667"
21, -,Shingo Katayama,5,"$96,020"
22, -,Spencer Levin,7,"$78,082"
23, -,Esteban Toledo,7,"$76,887"
24, -,Casey Wittenberg,9,"$67,548"
25, -,Michael Harris,2,"$65,430"
T26, -,Scott Drummond,1,"$56,947"
T26, -,Nick Flanagan,1,"$56,947"
T26, -,Tadahiro Takayama,1,"$56,947"
29, -,Peter Tomasulo,2,"$55,027"
30, -,Henrik Stenson,4,"$53,919"
31, -,Peter Hanson,3,"$51,891"
32, -,Matt Hendrix,1,"$51,429"
33, -,Nick Dougherty,6,"$47,467"
34, -,Scott Piercy,4,"$47,140"
35, -,Steve Webster,2,"$39,586"
36, -,Toru Taniguchi,7,"$38,880"
37, -,Simon Dyson,2,"$38,548"
38, -,Marcel Siem,1,"$29,150"
T39, -,Hiroyuki Fujita,1,"$26,243"
T39, -,Soren Hansen,1,"$26,243"
T39, -,Simon Khan,1,"$26,243"
T39, -,Maarten Lafeber,2,"$26,243"
43, -,Y.E. Yang,4,"$22,856"
44, -,Steve Schneiter,1,"$22,300"
45, -,Mike Small,2,"$21,900"
46, -,Kevin Streelman,2,"$21,695"
47, -,Sean Murphy,3,"$21,120"
48, -,Bob Sowards,7,"$19,162"
T49, -,Thongchai Jaidee,4,"$19,154"
T49, -,Paul Lawrie,1,"$19,154"
51, -,Soren Kjeldsen,1,"$17,667"
T52, -,John Bickerton,1,"$17,522"
T52, -,Tino Schuster,1,"$17,522"
T54, -,Robert Rock,1,"$16,383"
T54, -,David Smail,1,"$16,383"
56, -,Camilo Villegas,2,"$16,300"
57, -,Erik Compton,1,"$15,895"
58, -,Patrik Sjoland,1,"$15,770"
59, -,S.K. Ho,3,"$15,419"
T60, -,Keiichiro Fukabori,1,"$15,223"
T60, -,Jonathan Lomas,1,"$15,223"
62, -,Graeme Storm,1,"$14,806"
63, -,Steve Marino,1,"$14,542"
64, -,Stephen Gangluff,1,"$14,161"
65, -,John Mallinger,1,"$13,553"
66, -,"Ron Philo, Jr.",1,"$12,750"
67, -,Brandt Snedeker,2,"$12,731"
68, -,Jason Hartwick,1,"$12,090"
69, -,Kelly Grunewald,1,"$11,935"
70, -,Paul Sheehan,1,"$11,715"
71, -,Darrell Kestner,1,"$11,700"
72, -,Kevin Johnson,1,"$11,330"
73, -,Steve Collins,1,"$11,250"
74, -,Wil Collins,2,"$11,200"
75, -,Eric Axley,2,"$11,100"
76, -,Colby Beckstrom,2,"$11,095"
77, -,Charley Hoffman,1,"$10,656"
T78, -,Casey Martin,1,"$10,547"
T78, -,Chris Nallen,1,"$10,547"
80, -,Don Yrene,2,"$10,452"
